"Var1"	"Var2"	"value"	"T"
"LSM11"	"SND1"	0.322709565162357	NA
"YWHAG"	"SND1"	0.322521822373272	NA
"SND1"	"YWHAG"	0.322521822373272	NA
"TNRC6A"	"PTBP1"	0.322448792292389	NA
"PTBP1"	"TNRC6A"	0.322448792292389	NA
"RBM27"	"EIF4G2"	0.322390163850519	NA
"EIF4G2"	"RBM27"	0.322390163850519	NA
"IGF2BP2"	"EIF4G2"	0.322364724777895	NA
"EIF4G2"	"IGF2BP2"	0.322364724777895	NA
"TNRC6A"	"TARDBP"	0.3223067938835	NA
"TARDBP"	"TNRC6A"	0.3223067938835	NA
"TAF15"	"LSM11"	0.321790283584747	NA
"LSM11"	"TAF15"	0.321790283584747	NA
"TRA2A"	"GNL3"	0.321015022008723	NA
"GNL3"	"TRA2A"	0.321015022008723	NA
"HNRNPUL1"	"GTF2F1"	0.32100919545851	NA
"GTF2F1"	"HNRNPUL1"	0.32100919545851	NA
"SND1"	"DGCR8"	0.319933980448947	NA
"DGCR8"	"SND1"	0.319933980448947	NA
"GNL3"	"FMR1"	0.319624727827219	NA
"FMR1"	"GNL3"	0.319624727827219	NA
"TNRC6A"	"FAM120A"	0.319597671452459	NA
"FAM120A"	"TNRC6A"	0.319597671452459	NA
"TARDBP"	"FXR1"	0.319506442158858	NA
"FXR1"	"TARDBP"	0.319506442158858	NA
"SAFB2"	"HNRNPU"	0.319491811107043	NA
"HNRNPU"	"SAFB2"	0.319491811107043	NA
"SRSF1"	"FXR2"	0.319434990410338	NA
"FXR2"	"SRSF1"	0.319434990410338	NA
"FXR2"	"CPSF6"	0.319336545451777	"TRUE"
"CPSF6"	"FXR2"	0.319336545451777	"TRUE"
"SBDS"	"EIF4G2"	0.319281796575106	NA
"EIF4G2"	"SBDS"	0.319281796575106	NA
"NONO"	"HNRNPUL1"	0.319193164816127	NA
"HNRNPUL1"	"NONO"	0.319193164816127	NA
"EIF4G2"	"DDX42"	0.319125444805164	NA
"DDX42"	"EIF4G2"	0.319125444805164	NA
"TROVE2"	"RBM27"	0.318948646963692	NA
"RBM27"	"TROVE2"	0.318948646963692	NA
"SLBP"	"SBDS"	0.318938959973161	NA
"SBDS"	"SLBP"	0.318938959973161	NA
"YWHAG"	"TAF15"	0.318744221294607	NA
"TAF15"	"YWHAG"	0.318744221294607	NA
"GTF2F1"	"DDX42"	0.31864197716775	NA
"DDX42"	"GTF2F1"	0.31864197716775	NA
"KHDRBS1"	"HNRNPU"	0.318554806918673	NA
"HNRNPU"	"KHDRBS1"	0.318554806918673	NA
"YWHAG"	"SAFB2"	0.318398646078895	NA
"SAFB2"	"YWHAG"	0.318398646078895	NA
"TROVE2"	"FXR1"	0.31831659538097	NA
"FXR1"	"TROVE2"	0.31831659538097	NA
"TAF15"	"SLTM"	0.316995647890027	NA
"SLTM"	"TAF15"	0.316995647890027	NA
"TROVE2"	"NONO"	0.316510696019164	NA
