"Var1"	"Var2"	"value"
"FAM120A_exon"	"DDX3X_exon"	0.236485608217096
"FMR1_exon"	"DDX3X_exon"	0.299387197123766
"FXR1_exon"	"DDX3X_exon"	0.291157259751363
"FXR2_exon"	"DDX3X_exon"	0.307982156504213
"GNL3_exon"	"DDX3X_exon"	0.311449754399179
"GTF2F1_exon"	"DDX3X_exon"	0.246098582956434
"HNRNPA1_exon"	"DDX3X_exon"	0.15034904000716
"HNRNPK_exon"	"DDX3X_exon"	0.0830537851682089
"HNRNPM_exon"	"DDX3X_exon"	0.189872916342188
"HNRNPU_exon"	"DDX3X_exon"	0.143933962777017
"HNRNPUL1_exon"	"DDX3X_exon"	0.17575468142325
"IGF2BP1_exon"	"DDX3X_exon"	0.277645313289474
"IGF2BP2_exon"	"DDX3X_exon"	0.294940530283711
"ILF3_exon"	"DDX3X_exon"	0.144207142276562
"KHDRBS1_exon"	"DDX3X_exon"	0.16764235194179
"KHSRP_exon"	"DDX3X_exon"	0.0792471438949774
"LARP7_exon"	"DDX3X_exon"	0.184445512525206
"LIN28B_exon"	"DDX3X_exon"	0.310737392799952
"LSM11_exon"	"DDX3X_exon"	0.205516281515403
"NONO_exon"	"DDX3X_exon"	0.196501890503784
"NPM1_exon"	"DDX3X_exon"	0.254278705830165
"PRPF8_exon"	"DDX3X_exon"	0.169786257185108
"PTBP1_exon"	"DDX3X_exon"	0.251430060041855
"RBM22_exon"	"DDX3X_exon"	0.199541453139907
"RBM27_exon"	"DDX3X_exon"	0.243164060763678
"SAFB2_exon"	"DDX3X_exon"	0.141154345111475
"SBDS_exon"	"DDX3X_exon"	0.221192683404486
"SLBP_exon"	"DDX3X_exon"	0.170878806215429
"SLTM_exon"	"DDX3X_exon"	0.229321833782724
"SMNDC1_exon"	"DDX3X_exon"	0.269467685831571
"SND1_exon"	"DDX3X_exon"	0.312455872835562
"SRSF1_exon"	"DDX3X_exon"	0.28142797178588
"TAF15_exon"	"DDX3X_exon"	0.22355859380644
"TARDBP_exon"	"DDX3X_exon"	0.27898545363322
"TNRC6A_exon"	"DDX3X_exon"	0.290923140349676
"TRA2A_exon"	"DDX3X_exon"	0.238306790470441
"TROVE2_exon"	"DDX3X_exon"	0.267389631948661
"U2AF1_exon"	"DDX3X_exon"	0.138013853395053
"U2AF2_exon"	"DDX3X_exon"	0.115164692515382
"XRN2_exon"	"DDX3X_exon"	0.200079044266809
"YWHAG_exon"	"DDX3X_exon"	0.275612940466431
"AUH_exon"	"DDX42_exon"	0.270035585808929
"CPSF6_exon"	"DDX42_exon"	0.29490469580428
"CSTF2T_exon"	"DDX42_exon"	0.267182945154213
"DDX3X_exon"	"DDX42_exon"	0.199914368600848
"DDX42_exon"	"DDX42_exon"	1
"DGCR8_exon"	"DDX42_exon"	0.310105105598371
"EIF4G2_exon"	"DDX42_exon"	0.317743252576295
"FAM120A_exon"	"DDX42_exon"	0.251822360727802
"FMR1_exon"	"DDX42_exon"	0.264463181468714
"FXR1_exon"	"DDX42_exon"	0.229477180798231
"FXR2_exon"	"DDX42_exon"	0.282120490406068
"GNL3_exon"	"DDX42_exon"	0.27392282556361
"GTF2F1_exon"	"DDX42_exon"	0.315048789553937
"HNRNPA1_exon"	"DDX42_exon"	0.248254362455595
"HNRNPK_exon"	"DDX42_exon"	0.173218093395102
"HNRNPM_exon"	"DDX42_exon"	0.252149764437674
